"STATEFP","ST_FIP","GEOID","q1a","q1d","q6","q6c","age_median","pop_total","per_male","ratio_agedepen","hh_size","hh_samesex","hh_oc","per_25to64","per_edu_bachelor","income_median_hh","income_oc_to_rc","percent_flood","avg_month_drought","near_dist"
20,2036950,"2009536950","2","1","1","0",41.6,3.198,48.6866791744841,104.2,2.24,0,79.2,45.0906816760475,8.25515947467167,41.287,0.97702160017109,0,2.111111111,370.52829083
20,2038650,"2010338650","2","1","0","0",36,10.961,60.861235288751,45.7,2.89,0.4,78.7,58.8449958945352,18.009305720281,80.905,1.76586257456766,24.2355574,1,524.169769504
20,2021275,"2011121275","1","1","1","1",28.8,25.945,48.3253035266911,51.1,2.35,0.1,52.2,44.659857390634,10.4721526305647,32.179,2.1915346855608,7.8755241,1,484.012868952
20,2041375,"2011341375","3","2","1","0",34.3,3.418,43.9145699239321,69.4,2.23,0,72,39.877121123464,16.7056758338209,53.158,1.90472459925274,13.9898983,3,448.966887055
20,2032275,"2011532275","2","2","1","0",37.5,2.958,50.946585530764,69.5,2.2,1.1,72.8,34.4827586206897,13.0493576741041,47.717,1.78101335760018,6.744039,2,481.232722042
20,2045050,"2011745050","1","1","1","0",45.6,3.27,47.9510703363914,75.9,2.08,0,65.5,49.4189602446483,6.97247706422018,38.942,1.86806546055101,0,5,393.193508347
20,2043525,"2015943525","3","1","1","0",38.8,3.729,45.6154465004022,68.6,2.29,0,68.9,51.2469831053902,6.65057656208099,41.552,2.24893505001675,0,3,414.302381934
20,2068200,"2015968200","2","1","1","0",37.6,2.204,50.3176043557169,66,2.41,0,73.9,37.4773139745917,12.7949183303085,36.192,2.51221018357379,0,2,403.627152125
20,2061825,"2016761825","1","1","1","0",43.7,4.375,48.2057142857143,77.7,2.14,0,70.5,49.3942857142857,11.7257142857143,32.347,2.17732111908888,0,4,353.223493683
20,2062700,"2016962700","2","1","1","0",37,47.132,48.7694135619112,65.9,2.41,0.3,65.3,50.5516421963846,12.4458966307392,42.027,2.26430484538593,0,3.633333334,435.252368799
20,2026875,"2018126875","2","1","1","0",41.8,4.257,51.0453370918487,72.1,2.19,0,68.7,51.8205308902983,8.57411322527602,36.997,1.62039368276493,0,15,209.077315235
23,2373670,"2300573670","2","1","0","0",39.5,9.815,50.9322465613856,47.7,2.61,1.6,92.9,56.9638308711156,14.0499235863474,64.797,1.73243870967742,0,1,2.880987165
25,2526815,"2500326815","3","2","0","0",48.4,7.16,45.6703910614525,65.1,2.14,0.1,63.5,55.4748603351955,23.1703910614525,52.843,2.75632593051149,0,1,107.438923458
25,2534970,"2500334970","3","2","1","0",45,5.022,48.7853444842692,96.4,2.27,0.5,65.2,46.4755077658303,22.1823974512147,60.604,1.74777011494253,0,1,123.081056025
25,2551265,"2501151265","2","2","1","0",41.1,7.795,47.7870429762668,59.5,2.33,1.7,69.9,57.010904425914,10.288646568313,42.809,2.97221785396027,0,1,105.350907777
25,2568400,"2501168400","3","3","0","0",30.6,3.712,52.2359913793103,43.6,2.35,3.2,52.7,51.5625,30.145474137931,53.945,1.89154581534084,0,1,119.774835643
25,2567000,"2501367000","3","2","1","0",32,152.906,47.4801512040077,61.3,2.59,0.6,51.3,48.6161432514094,8.67918852105215,34.628,2.98102336399197,4.9562634,1,84.7166982957
25,2526535,"2501526535","3","2","0","0",43.6,6.229,47.7765291379034,58.9,2.42,0.6,82.2,56.7346283512602,18.2533311928078,66.726,2.62392682604676,0,1,100.509785178
